#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BCB78D
#Date Time: 2025-07-19 19:36:32.886.555.610
#Sample rate: 4074.98Hz
#Samples: 16384
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 1 V/div Offset: -8 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: -8 V Sample Mode: Average
#Math 1: Function: C2 - C1


Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-1.366876250306748,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.366630850306749,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.366385450306749,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.366140050306748,8.084776912540102,8.073132902436829,-0.01164401010327332
-1.365894650306748,8.08387038510457,8.073132902436829,-0.01073748266774111
-1.365649250306749,8.08387038510457,8.072225877958587,-0.01164450714598253
-1.365403850306748,8.084776912540102,8.072225877958587,-0.01255103458151474
-1.365158450306748,8.08387038510457,8.072225877958587,-0.01164450714598253
-1.364913050306749,8.084776912540102,8.072225877958587,-0.01255103458151474
-1.364667650306749,8.08387038510457,8.073132902436829,-0.01073748266774111
-1.364422250306748,8.08387038510457,8.072225877958587,-0.01164450714598253
-1.364176850306748,8.082963857669037,8.072225877958587,-0.01073797971045032
-1.363931450306749,8.082963857669037,8.070411829002106,-0.01255202866693139
-1.363686050306748,8.082963857669037,8.070411829002106,-0.01255202866693139
-1.363440650306748,8.082963857669037,8.070411829002106,-0.01255202866693139
-1.363195250306748,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.362949850306749,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.362704450306748,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.362459050306748,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.362213650306749,8.082057330233505,8.071318853480347,-0.01073847675315776
-1.361968250306749,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.361722850306748,8.082057330233505,8.071318853480347,-0.01073847675315776
-1.361477450306748,8.082057330233505,8.070411829002106,-0.01164550123139918
-1.361232050306749,8.082963857669037,8.070411829002106,-0.01255202866693139
-1.360986650306748,8.082963857669037,8.071318853480347,-0.01164500418868997
-1.360741250306748,8.082057330233505,8.071318853480347,-0.01073847675315776
-1.360495850306749,8.082057330233505,8.071318853480347,-0.01073847675315776
-1.360250450306749,8.082963857669037,8.072225877958587,-0.01073797971045032
-1.360005050306748,8.082963857669037,8.071318853480347,-0.01164500418868997
