#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BCB78D
#Date Time: 2025-07-19 19:26:01.219.048.350
#Sample rate: 3200Hz
#Samples: 16384
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 1 V/div Offset: -8 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: -8 V Sample Mode: Average
#Math 1: Function: C2 - C1


Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
2.11375,8.09293565945989,8.076761000349792,-0.01617465911009752
2.1140625,8.09293565945989,8.076761000349792,-0.01617465911009752
2.114375,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1146875,8.09293565945989,8.076761000349792,-0.01617465911009752
2.115,8.092029132024358,8.077668024828034,-0.01436110719632389
2.1153125,8.092029132024358,8.076761000349792,-0.01526813167456531
2.115625,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1159375,8.09293565945989,8.076761000349792,-0.01617465911009752
2.11625,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1165625,8.09293565945989,8.077668024828034,-0.0152676346318561
2.116875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1171875,8.09293565945989,8.076761000349792,-0.01617465911009752
2.1175,8.092029132024358,8.077668024828034,-0.01436110719632389
2.1178125,8.09293565945989,8.077668024828034,-0.0152676346318561
2.118125,8.09293565945989,8.077668024828034,-0.0152676346318561
2.1184375,8.09293565945989,8.077668024828034,-0.0152676346318561
2.11875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1190625,8.092029132024358,8.077668024828034,-0.01436110719632389
2.119375,8.092029132024358,8.077668024828034,-0.01436110719632389
2.1196875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.12,8.09293565945989,8.077668024828034,-0.0152676346318561
2.1203125,8.092029132024358,8.077668024828034,-0.01436110719632389
2.120625,8.092029132024358,8.077668024828034,-0.01436110719632389
2.1209375,8.092029132024358,8.077668024828034,-0.01436110719632389
2.12125,8.092029132024358,8.078575049306275,-0.01345408271808246
2.1215625,8.092029132024358,8.077668024828034,-0.01436110719632389
2.121875,8.091122604588826,8.078575049306275,-0.01254755528255025
2.1221875,8.091122604588826,8.076761000349792,-0.0143616042390331
2.1225,8.091122604588826,8.076761000349792,-0.0143616042390331
2.1228125,8.091122604588826,8.076761000349792,-0.0143616042390331
2.123125,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1234375,8.092029132024358,8.076761000349792,-0.01526813167456531
2.12375,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1240625,8.091122604588826,8.076761000349792,-0.0143616042390331
2.124375,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1246875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.125,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1253125,8.092029132024358,8.076761000349792,-0.01526813167456531
2.125625,8.092029132024358,8.077668024828034,-0.01436110719632389
2.1259375,8.092029132024358,8.076761000349792,-0.01526813167456531
2.12625,8.09293565945989,8.077668024828034,-0.0152676346318561
2.1265625,8.09293565945989,8.077668024828034,-0.0152676346318561
2.126875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1271875,8.09293565945989,8.077668024828034,-0.0152676346318561
2.1275,8.09293565945989,8.075853975871553,-0.01708168358833717
2.1278125,8.09293565945989,8.076761000349792,-0.01617465911009752
2.128125,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1284375,8.09293565945989,8.076761000349792,-0.01617465911009752
2.12875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1290625,8.09293565945989,8.077668024828034,-0.0152676346318561
2.129375,8.092029132024358,8.077668024828034,-0.01436110719632389
2.1296875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.13,8.09293565945989,8.077668024828034,-0.0152676346318561
2.1303125,8.09293565945989,8.076761000349792,-0.01617465911009752
2.130625,8.09293565945989,8.076761000349792,-0.01617465911009752
2.1309375,8.09293565945989,8.076761000349792,-0.01617465911009752
2.13125,8.09293565945989,8.076761000349792,-0.01617465911009752
2.1315625,8.09293565945989,8.076761000349792,-0.01617465911009752
2.131875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1321875,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1325,8.09293565945989,8.077668024828034,-0.0152676346318561
2.1328125,8.091122604588826,8.077668024828034,-0.01345457976079167
2.133125,8.091122604588826,8.077668024828034,-0.01345457976079167
2.1334375,8.091122604588826,8.076761000349792,-0.0143616042390331
2.13375,8.091122604588826,8.076761000349792,-0.0143616042390331
2.1340625,8.091122604588826,8.076761000349792,-0.0143616042390331
2.134375,8.091122604588826,8.076761000349792,-0.0143616042390331
2.1346875,8.091122604588826,8.076761000349792,-0.0143616042390331
2.135,8.091122604588826,8.076761000349792,-0.0143616042390331
2.1353125,8.091122604588826,8.077668024828034,-0.01345457976079167
2.135625,8.092029132024358,8.077668024828034,-0.01436110719632389
2.1359375,8.092029132024358,8.076761000349792,-0.01526813167456531
2.13625,8.092029132024358,8.076761000349792,-0.01526813167456531
2.1365625,8.092029132024358,8.075853975871553,-0.01617515615280496
2.136875,8.091122604588826,8.076761000349792,-0.0143616042390331
2.1371875,8.091122604588826,8.076761000349792,-0.0143616042390331
2.1375,8.092029132024358,8.077668024828034,-0.01436110719632389
2.1378125,8.09293565945989,8.077668024828034,-0.0152676346318561
2.138125,8.092029132024358,8.076761000349792,-0.01526813167456531
